OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDHealthSnglLBRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTwinlLBRate1,FshNDTwinlLBRate2,FshNDTwinlLBRate3,FshNDTwinlLBRate4,FshNDTwinlLBRate5,FshNDTwinlLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,FshNDHealthSnglLB_TransRate6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDTwinLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,ThwNDHealthSnglLB_TransRate6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDTwinLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankingCycles6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrHealthSnglLB_TransRate,ThwDnrHealthSnglLB_TransRate,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrTwinLB_TransRate,ThwDnrTwinLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
11,ADVANCED FERTILITY CARE,,SCOTTSDALE,ARIZONA,100%,69%,0%,1%,10%,19%,10%,27%,8%,21%,54%,5%,12%,9%,36%,292,1,"Frederick W. Larsen, MD",100,43,24,9,2,0,4.0,7.0,16.7,2 / 9,0 / 2,,1.6,1.6,2.1,2.5,2.5,,44.6,35.3,20.0,1 / 15,0 / 5,,35.4,36.7,0 / 18,0 / 6,0 / 2,,28.0,25.6,12.5,1 / 9,0 / 2,,33.0,30.2,12.5,1 / 9,0 / 2,,10.0,4.7,4.2,0 / 9,0 / 2,,43.0,34.9,16.7,1 / 9,0 / 2,,49.0,37.2,29.2,1 / 9,0 / 2,,82,31,18,6,2,0,34.1,35.5,3 / 18,1 / 6,0 / 2,,40.2,41.9,3 / 18,1 / 6,0 / 2,,12.2,6.5,1 / 18,0 / 6,0 / 2,,52.4,48.4,4 / 18,1 / 6,0 / 2,,59.8,51.6,7 / 18,1 / 6,0 / 2,,38,21,9,1,0,0,38,21,9,1,0,0,2.0,1.6,2.3,1.0,,,1.6,1.7,1.6,2.0,,,38.5,48.6,9 / 14,0 / 2,,,28.9,33.3,3 / 9,0 / 1,,,31.6,38.1,3 / 9,0 / 1,,,7.9,9.5,1 / 9,0 / 1,,,39.5,47.6,4 / 9,0 / 1,,,52.6,61.9,6 / 9,0 / 1,,,1,4,0,0,0,0,14,25,13,23,1.5,1.5,70.0,31.3,3 / 13,34.8,5 / 13,43.5,2 / 13,0.0,7 / 13,43.5,10 / 13,52.2,Advanced Fertility Care,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
12,ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,,SCOTTSDALE,ARIZONA,100%,69%,0%,<1%,<1%,5%,7%,34%,4%,2%,34%,6%,22%,3%,9%,297,0,"Ketan S. Patel, MD",70,41,25,13,4,3,8.6,19.5,12.0,1 / 13,2 / 4,2 / 3,1.8,1.9,2.3,2.8,2.0,1.0,45.6,28.3,26.7,39.3,1 / 4,0 / 1,14.5,7.4,1 / 19,0 / 10,0 / 1,,28.6,9.8,28.0,3 / 13,0 / 4,0 / 3,31.4,14.6,32.0,3 / 13,0 / 4,0 / 3,14.3,9.8,4.0,1 / 13,0 / 4,0 / 3,45.7,24.4,36.0,4 / 13,0 / 4,0 / 3,51.4,29.3,48.0,7 / 13,1 / 4,0 / 3,57,31,21,10,2,1,35.1,12.9,33.3,3 / 10,0 / 2,0 / 1,38.6,19.4,38.1,3 / 10,0 / 2,0 / 1,17.5,12.9,4.8,1 / 10,0 / 2,0 / 1,56.1,32.3,42.9,4 / 10,0 / 2,0 / 1,63.2,38.7,57.1,7 / 10,1 / 2,0 / 1,41,20,15,5,1,0,41,20,14,5,1,0,1.2,1.3,0.9,0.8,1.0,,1.9,1.6,1.9,3.0,1.0,,49.3,50.0,48.1,2 / 15,1 / 1,,41.5,30.0,3 / 14,1 / 5,1 / 1,,51.2,40.0,5 / 14,1 / 5,1 / 1,,14.6,10.0,3 / 14,0 / 5,0 / 1,,65.9,50.0,8 / 14,1 / 5,1 / 1,,73.2,70.0,9 / 14,1 / 5,1 / 1,,18,8,14,5,1,0,11,2,11,2,1.5,1.5,10 / 16,2 / 3,6 / 11,0 / 2,7 / 11,0 / 2,1 / 11,1 / 2,8 / 11,1 / 2,8 / 11,1 / 2,Arizona Associates for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
13,ARIZONA CENTER FOR FERTILITY STUDIES,,SCOTTSDALE,ARIZONA,100%,100%,0%,0%,25%,15%,14%,24%,9%,4%,24%,15%,10%,4%,11%,226,0,"Jay S. Nemiro, MD",3,1,0,0,0,0,0 / 3,0 / 1,,,,,2.0,3.0,,,,,2 / 6,0 / 3,,,,,0 / 3,0 / 1,,,,,0 / 3,0 / 1,,,,,0 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,3,1,0,0,0,0,0 / 3,0 / 1,,,,,0 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,30,14,6,5,4,3,30,14,6,5,4,3,0.8,0.5,0.2,0.3,0.2,0.2,2.0,1.6,1.7,2.0,1.5,2.7,55.9,52.2,4 / 10,3 / 10,4 / 6,2 / 8,33.3,4 / 14,2 / 6,1 / 5,4 / 4,1 / 3,36.7,5 / 14,2 / 6,1 / 5,4 / 4,1 / 3,26.7,2 / 14,1 / 6,0 / 5,0 / 4,0 / 3,63.3,7 / 14,3 / 6,1 / 5,4 / 4,1 / 3,76.7,9 / 14,3 / 6,3 / 5,4 / 4,1 / 3,35,28,30,20,18,16,2,11,2,11,1.5,2.0,3 / 3,54.5,0 / 2,2 / 11,0 / 2,4 / 11,1 / 2,3 / 11,1 / 2,7 / 11,2 / 2,8 / 11,Arizona Center for Fertility Studies,Yes,Yes,Yes,Yes,Yes,No,Yes,0,AZ
14,FERTILITY CENTERS OF ARIZONA,,SCOTTSDALE,ARIZONA,100%,100%,0%,3%,9%,18%,8%,28%,4%,0%,14%,2%,31%,2%,2%,53,0,"Daniel F. Rychlik, MD",19,6,5,1,1,0,0 / 19,0 / 6,0 / 5,0 / 1,0 / 1,,2.0,2.3,2.5,2.0,5.0,,44.1,1 / 7,1 / 5,2 / 2,0 / 5,,0 / 16,0 / 3,0 / 1,0 / 1,0 / 1,,3 / 19,0 / 6,0 / 5,0 / 1,0 / 1,,6 / 19,1 / 6,1 / 5,0 / 1,0 / 1,,4 / 19,0 / 6,0 / 5,1 / 1,0 / 1,,10 / 19,1 / 6,1 / 5,1 / 1,0 / 1,,10 / 19,1 / 6,1 / 5,1 / 1,0 / 1,,17,3,2,1,1,0,3 / 17,0 / 3,0 / 2,0 / 1,0 / 1,,6 / 17,1 / 3,1 / 2,0 / 1,0 / 1,,4 / 17,0 / 3,0 / 2,1 / 1,0 / 1,,10 / 17,1 / 3,1 / 2,1 / 1,0 / 1,,10 / 17,1 / 3,1 / 2,1 / 1,0 / 1,,7,4,6,0,0,0,7,4,6,0,0,0,3.5,4.0,1.2,,,,1.9,1.8,2.0,,,,7 / 13,4 / 7,4 / 12,,,,2 / 7,0 / 4,0 / 6,,,,3 / 7,1 / 4,4 / 6,,,,2 / 7,1 / 4,0 / 6,,,,5 / 7,2 / 4,4 / 6,,,,5 / 7,2 / 4,4 / 6,,,,0,0,2,0,0,0,0,2,0,2,,2.0,,0 / 2,,0 / 2,,0 / 2,,0 / 2,,0 / 2,,1 / 2,This clinic has closed or reorganized since 2013.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,0,AZ
15,IVF PHOENIX,,SCOTTSDALE,ARIZONA,100%,78%,0%,0%,4%,16%,2%,36%,0%,10%,48%,9%,1%,1%,19%,104,1,"John L. Couvaras, MD",21,5,11,5,5,3,9.5,0 / 5,1 / 11,2 / 5,4 / 5,1 / 3,1.5,2.0,1.8,2.0,3.0,2.0,7 / 19,4 / 10,3 / 16,0 / 4,0 / 3,0 / 2,6 / 13,0 / 5,1 / 8,0 / 2,0 / 1,0 / 1,23.8,0 / 5,2 / 11,0 / 5,0 / 5,0 / 3,23.8,0 / 5,3 / 11,0 / 5,0 / 5,0 / 3,4.8,1 / 5,0 / 11,0 / 5,0 / 5,0 / 3,28.6,1 / 5,3 / 11,0 / 5,0 / 5,0 / 3,33.3,2 / 5,3 / 11,0 / 5,0 / 5,0 / 3,13,5,9,2,1,1,5 / 13,0 / 5,2 / 9,0 / 2,0 / 1,0 / 1,5 / 13,0 / 5,3 / 9,0 / 2,0 / 1,0 / 1,1 / 13,1 / 5,0 / 9,0 / 2,0 / 1,0 / 1,6 / 13,1 / 5,3 / 9,0 / 2,0 / 1,0 / 1,7 / 13,2 / 5,3 / 9,0 / 2,0 / 1,0 / 1,17,5,7,1,1,0,15,5,6,1,1,0,1.2,1.7,1.0,,,,1.3,1.8,2.3,1.0,2.0,,25.0,0 / 6,2 / 14,0 / 1,1 / 2,,2 / 15,0 / 5,1 / 6,0 / 1,0 / 1,,3 / 15,0 / 5,2 / 6,0 / 1,1 / 1,,0 / 15,0 / 5,0 / 6,0 / 1,0 / 1,,3 / 15,0 / 5,2 / 6,0 / 1,1 / 1,,4 / 15,2 / 5,2 / 6,0 / 1,1 / 1,,6,0,4,0,0,0,4,8,4,8,2.0,1.5,3 / 6,2 / 12,1 / 4,0 / 8,1 / 4,1 / 8,0 / 4,0 / 8,1 / 4,1 / 8,4 / 4,2 / 8,IVF Phoenix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
16,FERTILITY TREATMENT CENTER,,TEMPE,ARIZONA,100%,97%,0%,0%,0%,4%,79%,32%,14%,8%,2%,19%,3%,46%,1%,763,0,"Randall Craig, MD",16,3,7,1,3,0,0 / 16,0 / 3,0 / 7,1 / 1,0 / 3,,2.1,2.3,1.9,,1.0,,24.2,2 / 7,0 / 13,,0 / 2,,2 / 16,0 / 3,1 / 6,,1 / 1,,2 / 16,0 / 3,0 / 7,0 / 1,0 / 3,,3 / 16,0 / 3,0 / 7,0 / 1,0 / 3,,2 / 16,1 / 3,0 / 7,0 / 1,0 / 3,,5 / 16,1 / 3,0 / 7,0 / 1,0 / 3,,5 / 16,1 / 3,0 / 7,0 / 1,0 / 3,,16,3,7,0,2,0,2 / 16,0 / 3,0 / 7,,0 / 2,,3 / 16,0 / 3,0 / 7,,0 / 2,,2 / 16,1 / 3,0 / 7,,0 / 2,,5 / 16,1 / 3,0 / 7,,0 / 2,,5 / 16,1 / 3,0 / 7,,0 / 2,,140,61,61,25,20,1,131,58,59,23,19,1,1.0,0.8,0.8,0.4,0.6,0.1,2.2,2.3,2.5,2.6,2.3,1.0,37.3,30.1,19.7,24.1,18.9,0 / 1,25.2,17.2,15.3,17.4,2 / 19,0 / 1,32.1,27.6,23.7,17.4,2 / 19,0 / 1,14.5,6.9,5.1,8.7,1 / 19,0 / 1,49.6,34.5,30.5,26.1,3 / 19,0 / 1,58.8,55.2,42.4,52.2,8 / 19,0 / 1,122,76,70,56,30,13,15,43,13,41,2.2,2.6,71.4,38.5,2 / 13,22.0,5 / 13,36.6,5 / 13,14.6,10 / 13,56.1,12 / 13,68.3,Fertility Treatment Center,Yes,Yes,Yes,Yes,Yes,No,Yes,0,AZ
17,ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,,TUCSON,ARIZONA,100%,52%,0%,0%,2%,17%,12%,15%,51%,9%,17%,2%,3%,16%,8%,304,1,"Timothy J. Gelety, MD",82,28,41,26,9,9,0.0,0.0,0.0,0.0,1 / 9,2 / 9,2.7,2.7,3.0,3.7,3.7,1.3,36.2,30.6,18.2,11.3,9.1,0 / 4,0.0,0.0,0.0,0.0,0 / 6,0 / 1,30.5,25.0,14.6,11.5,1 / 9,0 / 9,37.8,32.1,22.0,19.2,1 / 9,0 / 9,17.1,7.1,9.8,3.8,0 / 9,0 / 9,56.1,39.3,31.7,23.1,1 / 9,0 / 9,65.9,57.1,41.5,38.5,2 / 9,0 / 9,75,24,40,26,6,3,33.3,29.2,15.0,11.5,1 / 6,0 / 3,41.3,37.5,22.5,19.2,1 / 6,0 / 3,18.7,8.3,10.0,3.8,0 / 6,0 / 3,61.3,45.8,32.5,23.1,1 / 6,0 / 3,72.0,66.7,42.5,38.5,2 / 6,0 / 3,45,23,5,6,3,0,45,22,5,6,3,0,2.3,2.4,2.5,2.0,3.0,,2.7,2.7,2.6,3.3,2.7,,19.0,13.6,4 / 13,10.0,0 / 8,,15.6,27.3,3 / 5,2 / 6,0 / 3,,17.8,36.4,4 / 5,2 / 6,0 / 3,,6.7,0.0,0 / 5,0 / 6,0 / 3,,26.7,36.4,4 / 5,2 / 6,0 / 3,,37.8,36.4,4 / 5,2 / 6,0 / 3,,0,0,0,0,0,0,10,16,8,16,2.6,3.1,28.6,10.2,0 / 8,2 / 16,0 / 8,3 / 16,2 / 8,0 / 16,2 / 8,3 / 16,3 / 8,5 / 16,Arizona Center for Reproductive Endocrinology and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
18,REPRODUCTIVE HEALTH CENTER,,TUCSON,ARIZONA,100%,79%,0%,0%,3%,17%,10%,12%,17%,7%,51%,14%,6%,6%,24%,295,0,"Scot M. Hutchison, MD",21,6,6,0,1,0,9.5,2 / 6,3 / 6,,0 / 1,,1.3,2.0,1.7,,2.0,,8 / 16,0 / 8,1 / 3,,0 / 2,,6 / 10,0 / 4,0 / 2,,0 / 1,,23.8,0 / 6,1 / 6,,0 / 1,,23.8,0 / 6,1 / 6,,0 / 1,,4.8,0 / 6,0 / 6,,0 / 1,,28.6,0 / 6,1 / 6,,0 / 1,,33.3,0 / 6,2 / 6,,0 / 1,,12,4,3,0,1,0,5 / 12,0 / 4,1 / 3,,0 / 1,,5 / 12,0 / 4,1 / 3,,0 / 1,,1 / 12,0 / 4,0 / 3,,0 / 1,,6 / 12,0 / 4,1 / 3,,0 / 1,,7 / 12,0 / 4,2 / 3,,0 / 1,,65,37,25,7,3,0,64,37,25,7,3,0,1.4,2.3,1.5,3.5,,,1.5,1.3,1.5,1.6,1.0,,46.3,25.0,18.8,0 / 11,1 / 3,,28.1,21.6,24.0,0 / 7,0 / 3,,34.4,27.0,24.0,0 / 7,1 / 3,,9.4,0.0,0.0,0 / 7,0 / 3,,43.8,27.0,24.0,0 / 7,1 / 3,,62.5,40.5,36.0,0 / 7,1 / 3,,42,13,14,2,0,0,20,33,18,33,1.4,1.5,57.7,25.5,8 / 18,24.2,9 / 18,30.3,1 / 18,0.0,10 / 18,30.3,13 / 18,39.4,Reproductive Health Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AZ
19,ARKANSAS FERTILITY CENTER,LITTLE ROCK FERTILITY CENTER,LITTLE ROCK,ARKANSAS,100%,48%,0%,<1%,2%,18%,15%,25%,10%,1%,21%,3%,30%,9%,11%,288,2,"Dean M. Moutos, MD",115,35,23,4,4,0,3.5,2.9,0.0,0 / 4,1 / 4,,1.7,2.3,2.1,1.7,4.0,,39.1,31.7,22.2,0 / 5,1 / 8,,21.7,3.7,0 / 19,0 / 2,0 / 2,,29.6,20.0,13.0,0 / 4,0 / 4,,33.9,25.7,26.1,0 / 4,1 / 4,,7.0,14.3,4.3,0 / 4,0 / 4,,42.6,40.0,30.4,0 / 4,1 / 4,,47.8,42.9,34.8,0 / 4,1 / 4,,104,27,21,3,2,0,32.7,25.9,14.3,0 / 3,0 / 2,,37.5,33.3,28.6,0 / 3,1 / 2,,7.7,18.5,4.8,0 / 3,0 / 2,,47.1,51.9,33.3,0 / 3,1 / 2,,52.9,55.6,38.1,0 / 3,1 / 2,,41,22,10,7,0,0,41,22,8,7,0,0,2.2,5.5,8.0,,,,1.7,1.6,1.3,2.1,,,17.1,11.4,2 / 7,1 / 15,,,19.5,4.5,1 / 8,1 / 7,,,24.4,9.1,2 / 8,1 / 7,,,2.4,4.5,0 / 8,0 / 7,,,26.8,13.6,2 / 8,1 / 7,,,29.3,13.6,4 / 8,1 / 7,,,1,1,0,0,0,0,12,11,10,9,1.9,2.0,13 / 19,5 / 18,3 / 10,3 / 9,4 / 10,3 / 9,3 / 10,1 / 9,7 / 10,4 / 9,8 / 10,4 / 9,"Arkansas Fertility Center, Little Rock Fertility Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,AR
20,LIFESTART FERTILITY CENTER,,AGOURA HILLS,CALIFORNIA,100%,35%,0%,0%,18%,17%,13%,44%,4%,0%,30%,17%,9%,13%,13%,24,0,"Anita P. Singh, MD",8,4,2,1,2,0,0 / 8,0 / 4,0 / 2,0 / 1,0 / 2,,1.3,2.0,1.5,2.0,3.0,,5 / 10,3 / 4,2 / 3,1 / 2,1 / 3,,6 / 8,0 / 2,0 / 1,0 / 1,0 / 1,,3 / 8,1 / 4,0 / 2,0 / 1,1 / 2,,4 / 8,1 / 4,0 / 2,0 / 1,1 / 2,,0 / 8,1 / 4,1 / 2,0 / 1,0 / 2,,4 / 8,2 / 4,1 / 2,0 / 1,1 / 2,,4 / 8,2 / 4,1 / 2,1 / 1,1 / 2,,8,2,2,1,1,0,3 / 8,1 / 2,0 / 2,0 / 1,1 / 1,,4 / 8,1 / 2,0 / 2,0 / 1,1 / 1,,0 / 8,1 / 2,1 / 2,0 / 1,0 / 1,,4 / 8,2 / 2,1 / 2,0 / 1,1 / 1,,4 / 8,2 / 2,1 / 2,1 / 1,1 / 1,,3,1,0,0,0,0,3,1,0,0,0,0,1.0,1.0,,,,,1.7,1.0,,,,,1 / 5,0 / 1,,,,,1 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,0 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,1 / 3,0 / 1,,,,,1,0,0,0,0,0,1,1,1,1,1.0,2.0,0 / 1,0 / 2,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,0 / 1,LifeStart Fertility Center,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CA
21,ALTA BATES IN VITRO FERTILIZATION PROGRAM,,BERKELEY,CALIFORNIA,100%,84%,2%,4%,5%,2%,15%,45%,3%,5%,31%,15%,8%,6%,17%,146,0,"Ryszard J. Chetkowski, MD",15,11,11,15,3,2,0 / 15,1 / 11,3 / 11,3 / 15,0 / 3,0 / 2,1.8,1.9,2.6,3.4,2.5,3.0,4.3,3 / 17,9.5,17.6,0 / 5,0 / 6,4 / 13,2 / 8,0 / 7,0 / 7,0 / 2,0 / 1,1 / 15,0 / 11,2 / 11,2 / 15,0 / 3,0 / 2,1 / 15,1 / 11,2 / 11,2 / 15,0 / 3,0 / 2,0 / 15,1 / 11,0 / 11,2 / 15,0 / 3,0 / 2,1 / 15,2 / 11,2 / 11,4 / 15,0 / 3,0 / 2,1 / 15,2 / 11,2 / 11,4 / 15,0 / 3,0 / 2,13,9,8,10,2,2,1 / 13,0 / 9,2 / 8,2 / 10,0 / 2,0 / 2,1 / 13,1 / 9,2 / 8,2 / 10,0 / 2,0 / 2,0 / 13,1 / 9,0 / 8,2 / 10,0 / 2,0 / 2,1 / 13,2 / 9,2 / 8,4 / 10,0 / 2,0 / 2,1 / 13,2 / 9,2 / 8,4 / 10,0 / 2,0 / 2,17,13,3,3,1,0,16,13,3,3,1,0,1.0,1.3,,,0.5,,1.9,1.7,2.3,2.0,2.0,,40.0,27.3,2 / 7,2 / 6,1 / 2,,7 / 16,2 / 13,1 / 3,2 / 3,1 / 1,,9 / 16,2 / 13,1 / 3,2 / 3,1 / 1,,0 / 16,2 / 13,0 / 3,0 / 3,0 / 1,,9 / 16,4 / 13,1 / 3,2 / 3,1 / 1,,11 / 16,4 / 13,2 / 3,2 / 3,1 / 1,,8,6,0,0,2,0,16,20,14,17,1.7,1.7,33.3,31.0,6 / 14,4 / 17,7 / 14,5 / 17,0 / 14,1 / 17,7 / 14,6 / 17,9 / 14,7 / 17,Alta Bates In Vitro Fertilization Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
22,BEVERLY HILLS REPRODUCTIVE FERTILITY CENTER,CENTER FOR REPRODUCTION,BEVERLY HILLS,CALIFORNIA,>99%,96%,1%,2%,7%,13%,9%,49%,5%,4%,35%,14%,5%,8%,19%,378,2,"Peyman Saadat, MD",69,44,51,27,18,15,0.0,0.0,2.0,0.0,0 / 18,0 / 15,2.6,2.8,2.8,2.4,3.1,2.4,34.7,31.0,23.3,18.8,4.4,0.0,0.0,0.0,2.2,0 / 18,0 / 11,0 / 8,29.0,29.5,23.5,14.8,1 / 18,0 / 15,36.2,36.4,31.4,18.5,1 / 18,0 / 15,13.0,15.9,9.8,3.7,0 / 18,0 / 15,53.6,52.3,41.2,22.2,1 / 18,0 / 15,60.9,59.1,51.0,48.1,3 / 18,0 / 15,69,43,48,25,15,13,29.0,30.2,25.0,16.0,1 / 15,0 / 13,36.2,37.2,33.3,20.0,1 / 15,0 / 13,13.0,16.3,10.4,4.0,0 / 15,0 / 13,53.6,53.5,43.8,24.0,1 / 15,0 / 13,60.9,60.5,54.2,52.0,3 / 15,0 / 13,22,13,15,4,4,3,22,13,15,4,4,3,1.2,0.9,0.6,0.3,0.3,0.3,2.6,2.3,3.1,2.0,3.0,2.3,37.3,25.0,22.7,0 / 8,1 / 12,0 / 7,22.7,1 / 13,3 / 15,0 / 4,1 / 4,0 / 3,22.7,2 / 13,4 / 15,0 / 4,1 / 4,0 / 3,27.3,0 / 13,2 / 15,0 / 4,0 / 4,0 / 3,50.0,3 / 13,6 / 15,0 / 4,1 / 4,0 / 3,68.2,6 / 13,8 / 15,0 / 4,1 / 4,0 / 3,12,11,13,9,9,9,19,9,19,9,2.1,2.1,59.0,7 / 19,5 / 19,3 / 9,6 / 19,4 / 9,7 / 19,1 / 9,13 / 19,5 / 9,15 / 19,5 / 9,"Beverly Hills Reproductive Fertility Center, Center for Reproduction",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CA
